Country,%
Bahrain,4.10
Belarus,12.40
Cameroon,2.10
China,9.30
Cuba,1.00
Egypt,6.20
Eritrea,1.00
India,4.10
Iran,10.30
Iraq,2.10
Israel and the Occupied Palestinian Territory,5.20
Myanmar,11.30
Russia,9.30
Rwanda,1.00
Saudi Arabia,5.20
Syria,4.10
Tajikistan,3.10
Togo,1.00
Vietnam,7.20
