Charges,Imprisoned
Anti-state,54
Anti-state - Defamation - False News,2
Anti-state - False News,9
Anti-state - False News - Retaliatory,1
Anti-state - Retaliatory,3
False News,1
No charge disclosed,17
Retaliatory,7
Unknown,69
